model_label,age_group,age_low,age_high,age_mid,ref_age_low,ref_age_high,ref_age_mid,OR,CI_low,CI_high
PRE full,40-49,40,49,44.5,60,69,64.5,2.5375834692058965,3.3320142679054796,1.9325637123501351
PRE full,50-59,50,59,54.5,60,69,64.5,1.5929794315074808,1.8253805816611175,1.3901667929964863
PRE full,60-69,60,69,64.5,60,69,64.5,1.0,1.0,1.0
PRE full,70-79,70,79,74.5,60,69,64.5,0.6277544958968316,0.5478309619630052,0.7193381434788219
PRE full,80-89,80,89,84.5,60,69,64.5,0.3940757071186852,0.3001187628853117,0.5174473646635581
POST full,40-49,40,49,44.5,60,69,64.5,3.2118123115788464,4.3480497558170494,2.3724977643157175
POST full,50-59,50,59,54.5,60,69,64.5,1.7921529821917677,2.085197773789587,1.5402914543409365
POST full,60-69,60,69,64.5,60,69,64.5,1.0,1.0,1.0
POST full,70-79,70,79,74.5,60,69,64.5,0.5579880791075211,0.479570817008223,0.649227779055544
POST full,80-89,80,89,84.5,60,69,64.5,0.31135069642610125,0.22998816852593454,0.4214967090973942
